hv001,precip_annual,temp_annual,elevation,population,wealth_score,wealth_index,n_menages
132,117.58333333333333,25.666666666666668,642,3.2144527435302734,-49211.137931034486,2,29
133,102.91666666666667,26.88333336512248,373,1.7939515113830566,-69900.5172413793,2,29
134,103.33333333333333,26.858333428700764,390,2.7065699100494385,-74113.72413793103,2,29
135,104.16666666666667,26.866666475931805,356,0.4677550494670868,-77771.3448275862,1,29
136,108.16666666666667,26.291666666666668,461,3.5394439697265625,20747,3,29
137,106.08333333333333,26.300000031789143,441,1.626814842224121,-75087.16666666667,2,30
138,104.83333333333333,26.416666666666668,425,1.0975958108901978,-70588.86206896552,2,29
139,96.75,27.483333428700764,262,3.360907793045044,25744.5,4,30
140,91.08333333333333,28.083333492279053,191,2.1644139289855957,-66524.53571428571,1,28
141,93.58333333333333,27.80833339691162,196,0.26696908473968506,-84156.83333333333,1,30
142,98.33333333333333,27.71666653951009,192,1.3861582279205322,-74787.93333333333,2,30
143,96.58333333333333,27.97500006357829,107,0.6429754495620728,-86030.16666666667,1,30
144,96.75,27.80833355585734,178,0.42454466223716736,-73113.36666666667,2,30
145,94.5,27.950000127156574,138,3.2418057918548584,-66769.60714285714,2,28
146,116.91666666666667,26.208333651224773,407,3.7206473350524902,37967.8,4,30
147,106.08333333333333,27.03333330154419,281,0.12570035457611084,-61765.76666666667,2,30
148,101.75,27.4333332379659,226,0.15960541367530823,-81703.66666666667,1,30
149,106.08333333333333,27.25,244,0.217664435505867,-5558.233333333334,3,30
150,137.08333333333334,24.391666412353516,693,2.0768885612487793,-7252.8,3,30
151,84.75,28.15833330154419,290,18.871776580810547,93427.03333333334,4.5,30
152,85.16666666666667,28.175000031789143,303,12.371427536010742,42547.566666666666,4,30
153,82.83333333333333,28.34166669845581,269,1.648582100868225,-68646.8,2,30
154,83.08333333333333,28.074999968210857,305,6.566333293914795,-79874.36666666667,1,30
155,83.33333333333333,28.133333524068195,267,1.2418830394744873,-79265.5,1,30
156,86,28.333333651224773,252,4.10128927230835,-73429.33333333333,2,30
157,83.91666666666667,28.59166669845581,235,2.7624878883361816,-23762.533333333333,3,30
158,80.25,28.40833314259847,246,1.16462242603302,-80831.26666666666,1,30
159,77.75,28.18333339691162,280,11.682220458984375,100611.66666666667,5,30
160,79.66666666666667,28.175000190734863,294,3.998011350631714,-76136.46666666666,1,30
161,87.41666666666667,28.666666666666668,132,0.5531633496284485,-80151.73333333334,1,30
162,85.41666666666667,28.84166669845581,215,1.2695279121398926,-80074.83333333333,1,30
163,88.08333333333333,28.575000127156574,162,0.5072119235992432,-76704.06666666667,2,30
164,88.33333333333333,28.75000015894572,130,0.48949894309043884,-95625.4,1,30
165,90,28.22500006357829,165,0.4074461758136749,-92774.56666666667,1,30
166,88.75,28.458333015441895,134,0.4479050934314728,-93502.9,1,30
167,88.08333333333333,28.300000190734863,206,0.6123945713043213,-84257.4,1,30
168,90.08333333333333,28.1833332379659,129,0.4366544485092163,-92320.9,1,30
169,87.25,28.099999745686848,287,4.828993797302246,-62197.67857142857,2,28
170,85.16666666666667,28.15833346048991,232,1.4818891286849976,-75645.2,1,30
171,84,27.75000015894572,240,0.5697720646858215,-81505.4,1,30
